time, Sim.DrawTime
0.005000,8.110000
0.010000,2.237000
0.015000,2.237000
0.020000,2.237000
0.025000,2.237000
0.030000,2.237000
0.035000,2.237000
0.040000,3.249000
0.045000,3.249000
0.050000,3.249000
0.055000,3.249000
0.060000,3.249000
0.065000,3.249000
0.070000,2.983000
0.075000,2.983000
0.080000,2.983000
0.085000,2.983000
0.090000,2.983000
0.095000,2.983000
0.100000,4.383000
0.105000,4.383000
0.110000,4.383000
0.115000,4.383000
0.120000,4.383000
0.125000,3.485000
0.130000,3.485000
0.135000,3.485000
0.140000,3.485000
0.145000,3.485000
0.150000,3.483000
0.155000,3.483000
0.160000,3.483000
0.165000,3.483000
0.170000,3.483000
0.175000,3.483000
0.180000,4.170000
0.185000,4.170000
0.190000,4.170000
0.195000,4.170000
0.200000,4.170000
0.205000,3.816000
0.210000,3.816000
0.215000,3.816000
0.220000,3.816000
0.225000,3.816000
0.230000,3.781000
0.235000,3.781000
0.240000,3.781000
0.245000,3.781000
0.250000,3.781000
0.255000,4.066000
0.260000,4.066000
0.265000,4.066000
0.270000,4.066000
0.275000,4.066000
0.280000,4.066000
0.285000,4.222000
0.290000,4.222000
0.295000,4.222000
0.300000,4.222000
0.305000,4.222000
0.310000,3.684000
0.314999,3.684000
0.319999,3.684000
0.324999,3.684000
0.329999,3.684000
0.334999,3.684000
0.339999,4.257000
0.344999,4.257000
0.349999,4.257000
0.354999,4.257000
0.359999,4.257000
0.364999,4.102000
0.369999,4.102000
0.374999,4.102000
0.379999,4.102000
0.384999,4.102000
0.389999,4.036000
0.394998,4.036000
0.399998,4.036000
0.404998,4.036000
0.409998,4.036000
0.414998,4.036000
0.419998,4.690000
0.424998,4.690000
0.429998,4.690000
0.434998,4.690000
0.439998,4.690000
0.444998,4.690000
0.449998,3.815000
0.454998,3.815000
0.459998,3.815000
0.464998,3.815000
0.469997,3.815000
0.474997,3.815000
0.479997,4.592000
0.484997,4.592000
0.489997,4.592000
0.494997,4.592000
0.499997,4.592000
0.504997,4.592000
0.509997,4.682000
0.514997,4.682000
0.519997,4.682000
0.524997,4.682000
0.529997,4.682000
0.534997,4.682000
0.539997,3.726000
0.544997,3.726000
0.549996,3.726000
0.554996,3.726000
0.559996,3.726000
0.564996,4.070000
0.569996,4.070000
0.574996,4.070000
0.579996,4.070000
0.584996,4.070000
0.589996,3.963000
0.594996,3.963000
0.599996,3.963000
0.604996,3.963000
0.609996,3.963000
0.614996,3.963000
0.619996,4.348000
0.624996,4.348000
0.629995,4.348000
0.634995,4.348000
0.639995,4.348000
0.644995,4.348000
0.649995,4.523000
0.654995,4.523000
0.659995,4.523000
0.664995,4.523000
0.669995,4.523000
0.674995,4.523000
0.679995,4.642000
0.684995,4.642000
0.689995,4.642000
0.694995,4.642000
0.699995,4.642000
0.704994,4.712000
0.709994,4.712000
0.714994,4.712000
0.719994,4.712000
0.724994,4.712000
0.729994,4.712000
0.734994,4.136000
0.739994,4.136000
0.744994,4.136000
0.749994,4.136000
0.754994,4.136000
0.759994,4.111000
0.764994,4.111000
0.769994,4.111000
0.774994,4.111000
0.779994,4.111000
0.784993,4.111000
0.789993,4.775000
0.794993,4.775000
0.799993,4.775000
0.804993,4.775000
0.809993,4.775000
0.814993,4.775000
0.819993,5.129000
0.824993,5.129000
0.829993,5.129000
0.834993,5.129000
0.839993,5.129000
0.844993,4.608000
0.849993,4.608000
0.854993,4.608000
0.859993,4.608000
0.864992,4.608000
0.869992,4.608000
0.874992,4.385000
0.879992,4.385000
0.884992,4.385000
0.889992,4.385000
0.894992,4.385000
0.899992,3.881000
0.904992,3.881000
0.909992,3.881000
0.914992,3.881000
0.919992,3.881000
0.924992,3.881000
0.929992,4.648000
0.934992,4.648000
0.939991,4.648000
0.944991,4.648000
0.949991,4.648000
0.954991,3.978000
0.959991,3.978000
0.964991,3.978000
0.969991,3.978000
0.974991,3.978000
0.979991,3.978000
0.984991,5.119000
0.989991,5.119000
0.994991,5.119000
0.999991,5.119000
1.004991,5.119000
1.009991,5.119000
1.014991,4.263000
1.019992,4.263000
1.024992,4.263000
1.029992,4.263000
1.034992,4.263000
1.039993,4.263000
1.044993,4.489000
1.049993,4.489000
1.054993,4.489000
1.059994,4.489000
1.064994,4.489000
1.069994,4.489000
1.074994,3.984000
1.079994,3.984000
1.084995,3.984000
1.089995,3.984000
1.094995,3.984000
1.099995,4.635000
1.104996,4.635000
1.109996,4.635000
1.114996,4.635000
1.119996,4.635000
1.124997,4.077000
1.129997,4.077000
1.134997,4.077000
1.139997,4.077000
